               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  61,              1.5805,             0.87532,              1.3492,             0.84075,             0.64805,             0.73943,             0.43169,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  62,              1.5793,             0.87781,                1.35,             0.84445,             0.64758,             0.74242,             0.43242,                   0,                   0,                   0,            0.007987,            0.007987,            0.007987
                  63,              1.5765,             0.87474,              1.3484,             0.84681,             0.64732,             0.74269,             0.43276,                   0,                   0,                   0,            0.007954,            0.007954,            0.007954
                  64,              1.5722,             0.86898,              1.3452,             0.85211,             0.64845,             0.74335,             0.43348,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  65,              1.5762,             0.87093,              1.3487,             0.84997,              0.6506,             0.74361,              0.4336,                   0,                   0,                   0,            0.007888,            0.007888,            0.007888
                  66,              1.5719,             0.86806,              1.3428,             0.85151,             0.65091,             0.74406,             0.43495,                   0,                   0,                   0,            0.007855,            0.007855,            0.007855
                  67,              1.5707,             0.86598,              1.3424,             0.85171,             0.65061,             0.74487,             0.43584,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  68,              1.5658,             0.86393,              1.3403,             0.85231,             0.65071,             0.74544,             0.43884,                   0,                   0,                   0,            0.007789,            0.007789,            0.007789
                  69,              1.5616,              0.8608,              1.3367,             0.85564,             0.64921,             0.74644,             0.43938,                   0,                   0,                   0,            0.007756,            0.007756,            0.007756
                  70,              1.5623,             0.85803,              1.3337,             0.85698,             0.64872,             0.74682,             0.44041,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  71,              1.5637,             0.85909,              1.3383,             0.85614,             0.64889,             0.74664,             0.44019,                   0,                   0,                   0,             0.00769,             0.00769,             0.00769
                  72,              1.5588,             0.85534,              1.3379,             0.85454,              0.6521,             0.77691,             0.44673,                   0,                   0,                   0,            0.007657,            0.007657,            0.007657
                  73,              1.5613,             0.85725,              1.3387,             0.85514,              0.6534,             0.77748,             0.44768,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  74,              1.5572,             0.85568,              1.3383,             0.86137,             0.64759,             0.77842,             0.44888,                   0,                   0,                   0,            0.007591,            0.007591,            0.007591
                  75,              1.5486,             0.85238,              1.3373,             0.86096,             0.64634,             0.77931,             0.44908,                   0,                   0,                   0,            0.007558,            0.007558,            0.007558
                  76,              1.5498,             0.84862,              1.3355,             0.85827,             0.64888,             0.78093,             0.44974,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  77,              1.5515,             0.85046,              1.3331,             0.86336,             0.64654,             0.78339,             0.45199,                   0,                   0,                   0,            0.007492,            0.007492,            0.007492
                  78,              1.5472,             0.85027,              1.3358,             0.86394,              0.6464,             0.78372,             0.45288,                   0,                   0,                   0,            0.007459,            0.007459,            0.007459
                  79,               1.542,             0.84478,              1.3268,             0.86098,             0.64613,             0.79194,             0.45725,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  80,              1.5432,             0.84293,              1.3308,             0.86694,             0.64528,             0.79269,             0.45815,                   0,                   0,                   0,            0.007393,            0.007393,            0.007393
                  81,              1.5438,             0.84374,              1.3323,             0.86346,             0.64662,             0.79415,             0.45873,                   0,                   0,                   0,             0.00736,             0.00736,             0.00736
                  82,               1.535,             0.84007,              1.3306,             0.87663,              0.6436,             0.79535,             0.46528,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  83,               1.536,             0.83727,              1.3269,              0.8732,             0.64411,              0.7959,               0.466,                   0,                   0,                   0,            0.007294,            0.007294,            0.007294
                  84,              1.5288,             0.83108,              1.3255,             0.86435,             0.64938,             0.79629,             0.46755,                   0,                   0,                   0,            0.007261,            0.007261,            0.007261
                  85,              1.5278,             0.83203,              1.3252,             0.86001,             0.65195,             0.79722,              0.4694,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  86,              1.5237,             0.83068,              1.3204,             0.86077,             0.65228,             0.79802,             0.47092,                   0,                   0,                   0,            0.007195,            0.007195,            0.007195
                  87,              1.5249,             0.82848,              1.3259,             0.86895,             0.64929,              0.7988,             0.47104,                   0,                   0,                   0,            0.007162,            0.007162,            0.007162
                  88,              1.5225,             0.82563,              1.3207,              0.8711,             0.64899,              0.7998,             0.47164,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  89,              1.5163,             0.82335,              1.3173,             0.87031,             0.64991,             0.79964,             0.47188,                   0,                   0,                   0,            0.007096,            0.007096,            0.007096
                  90,              1.5236,             0.82982,              1.3219,              0.8674,             0.65155,             0.80083,             0.47292,                   0,                   0,                   0,            0.007063,            0.007063,            0.007063
                  91,              1.5163,             0.82157,              1.3165,             0.86857,             0.65185,             0.80093,             0.46789,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  92,              1.5118,             0.82109,              1.3179,             0.87012,             0.65307,               0.802,             0.46834,                   0,                   0,                   0,            0.006997,            0.006997,            0.006997
                  93,              1.5099,             0.81934,               1.318,             0.87088,             0.65351,             0.80216,             0.46932,                   0,                   0,                   0,            0.006964,            0.006964,            0.006964
                  94,              1.5134,             0.81934,              1.3167,             0.87539,             0.65499,             0.80274,             0.47076,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  95,              1.5093,             0.81599,              1.3177,             0.86595,             0.65935,             0.80292,             0.47089,                   0,                   0,                   0,            0.006898,            0.006898,            0.006898
                  96,              1.5043,             0.81517,              1.3153,             0.86769,              0.6588,             0.80398,              0.4708,                   0,                   0,                   0,            0.006865,            0.006865,            0.006865
                  97,              1.5001,             0.81074,              1.3087,             0.86983,             0.65999,             0.80371,             0.47631,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  98,              1.5064,             0.81356,              1.3158,             0.87446,             0.66026,             0.80491,             0.47758,                   0,                   0,                   0,            0.006799,            0.006799,            0.006799
